Ciencia|¿Cuál es el planeta más grande del sistema solar?|Júpiter|Saturno|Marte|Venus
Ciencia|¿Qué gas necesitan las plantas para la fotosíntesis?|Dióxido de carbono|Oxígeno|Nitrogeno|Hidrógeno
Ciencia|¿Cuál es el metal más conductor de electricidad?|Plata|Cobre|Oro|Aluminio
Ciencia|¿Qué planeta es conocido como el "planeta rojo"?|Marte|Júpiter|Venus|Saturno
Ciencia|¿Cuántos huesos tiene el cuerpo humano adulto?|206|196|216|226
Ciencia|¿Qué gas es el más abundante en la atmósfera terrestre?|Nitrógeno|Oxígeno|Dioxido de carbono|Argón
Ciencia|¿Qué partícula subatómica tiene carga positiva?|Protón|Electrón|Neutrón|Fotón

Historia|¿En qué año comenzó la Segunda Guerra Mundial?|1939|1914|1945|1920
Historia|¿Quién pintó la Mona Lisa?|Leonardo da Vinci|Pablo Picasso|Vincent van Gogh|Miguel Ángel
Historia|¿En qué año cayó el Imperio Romano de Occidente?|476|410|1453|312
Historia|¿Quién fue el primer presidente de Estados Unidos?|George Washington|Thomas Jefferson|Abraham Lincoln|Benjamin Franklin
Historia|¿Qué civilización construyó Machu Picchu?|Inca|Maya|Azteca|Olmeca
Historia|¿En qué siglo llegó Colón a América?|Siglo XV|Siglo XIV|Siglo XVI|Siglo XIII
Historia|¿Qué imperio fue gobernado por Carlomagno?|Imperio Carolingio|Imperio Romano|Imperio Bizantino|Imperio Otomano

Geografía|¿Cuál es la capital de Francia?|París|Londres|Berlín|Madrid
Geografía|¿Cuál es el país más grande del mundo por área?|Rusia|Canadá|China|Estados Unidos
Geografía|¿Qué montaña es la más alta del mundo?|Everest|K2|Kilimanjaro|Aconcagua
Geografía|¿Cuál es el océano más grande?|Pacífico|Atlántico|Índico|Ártico
Geografía|¿Qué país tiene forma de bota?|Italia|Grecia|España|Francia
Geografía|¿Cuál es la capital de Australia?|Canberra|Sídney|Melbourne|Brisbane


Arte|¿Quién pintó "La noche estrellada"?|Vincent van Gogh|Pablo Picasso|Claude Monet|Salvador Dalí
Arte|¿Qué instrumento tiene 88 teclas?|Piano|Guitarra|Violín|Saxofón
Arte|¿En qué ciudad se encuentra la ópera de Sídney?|Sídney|Melbourne|Londres|Nueva York
Arte|¿Quién escribió "Cien años de soledad"?|Gabriel García Márquez|Pablo Neruda|Julio Cortázar|Mario Vargas Llosa
Arte|¿Qué compositor era sordo?|Ludwig van Beethoven|Wolfgang Amadeus Mozart|Johann Sebastian Bach|Frédéric Chopin


Deportes|¿En qué deporte se usa un birdie?|Bádminton|Tenis|Ping Pong|Squash
Deportes|¿Cuántos jugadores hay en un equipo de baloncesto?|5|6|7|4
Deportes|¿Qué país ganó el primer Mundial de Fútbol?|Uruguay|Brasil|Argentina|Italia
Deportes|¿En qué deporte se usa un casco y espada?|Esgrima|Boxeo|Judo|Kárate
Deportes|¿Cuántos rounds tiene un combate de boxeo profesional?|12|10|15|8


Tecnología|¿Qué compañía creó el iPhone?|Apple|Samsung|Microsoft|Google
Tecnología|¿Qué significa HTML?|HyperText Markup Language|High Tech Modern Language|Hyper Transfer Markup Language|Home Tool Markup Language
Tecnología|¿Quién fundó Microsoft?|Bill Gates|Steve Jobs|Mark Zuckerberg|Larry Page
Tecnología|¿Qué red social fue lanzada en 2004?|Facebook|Twitter|Instagram|LinkedIn
Tecnología|¿Qué lenguaje de programación se usa para desarrollo web frontend?|JavaScript|Python|Java|C++
